Facility_ID,Facility_Name,State,LGA,Geopolitical_Zone,Facility_Type,Medicine_Name,Medicine_Category,WHO_Essential_List,Batch_Number,Manufacturing_Date,Expiry_Date,Manufacturer,Current_Stock_Level,Reorder_Level,Max_Capacity,Unit,Days_Of_Stock_Remaining,Last_Restocked_Date,Next_Expected_Delivery,Supplier_Name,Unit_Cost_Naira,Total_Stock_Value,Storage_Condition_Required,Actual_Storage_Condition,Cold_Chain_Compliant,Track_Trace_Enabled,Serialization_Code,Supply_Chain_Visibility,Stockout_Events_Last_6Months,Average_Monthly_Consumption,Wastage_Percentage_Last_Quarter,Quality_Verified,Regulatory_Compliance,Distribution_Lead_Time_Days,Warehouse_Temp_Log_Available,Status
FAC-JIG-5012,General Hospital Central,Jigawa,Central,North_West,General Hospital,Ibuprofen 400mg,Analgesic,Yes,BN21395,2022-03-07,2023-04-06,Greenfield Pharma,3763,891,4158,Tablets,190.1,2025-05-02,2025-07-27,,35.55,133774.65,Room_Temp,Room_Temp,Yes,Yes,SRL-F7078BDA71,Full,0,594,5.9,Yes,WHO_PQ,31,Yes,Expired
FAC-OND-1711,West PHC,Ondo,West,South_West,PHC,Nevirapine 200mg,ARV,Yes,BN92397,2024-01-11,2026-08-24,Fidson Healthcare,851,387,1290,Tablets,99.0,2025-03-07,2025-06-15,NAFDAC Approved Vendor,1152.49,980768.99,Room_Temp,Room_Temp,Yes,No,,None,2,258,7.1,Yes,WHO_PQ,8,No,In_Stock
FAC-OYO-1916,General Hospital Rural B,Oyo,Rural B,South_West,General Hospital,Nevirapine 200mg,ARV,Yes,BN84341,2023-10-07,2025-05-11,Pfizer Nigeria,1585,436,1746,Tablets,163.4,2025-05-01,2025-06-21,Drugfield Pharma,1197.99,1898814.15,Room_Temp,Room_Temp,Yes,No,,None,2,291,8.1,Yes,WHO_PQ,9,Yes,Expired
FAC-AKW-1188,Ward 11 PHC,Akwa Ibom,West,South_South,PHC,Measles-Rubella Vaccine,Vaccine,Yes,BN94012,2023-08-25,2025-11-12,Cipla Nigeria,1419,808,2695,Vials,79.0,2025-01-22,2025-06-17,,2713.97,3851123.43,Refrigerated,Room_Temp,No,No,,None,2,539,41.4,Pending,NAFDAC,5,No,In_Stock
FAC-FCT-2403,Federal Teaching Hospital Abaji,FCT,Abaji,North_Central,Teaching Hospital,Morphine 10mg/ml Injection,Analgesic,Yes,BN26828,2022-12-05,2024-09-01,GSK Nigeria,2723,1089,5082,Tablets,112.5,2025-04-14,2025-07-16,Drugfield Pharma,2519.03,6859318.69,Room_Temp,Room_Temp,Yes,No,,None,3,726,7.1,Yes,WHO_PQ,42,No,Expired
FAC-ZAM-8953,Ward 4 PHC,ZAMFARA,Talata Mafara,North_West,PHC,Yellow Fever Vaccine,Vaccine,Yes,BN71993,2023-01-25,2024-04-30,Pfizer Nigeria,0,1021,3405,Vials,0.0,2025-01-21,2025-07-14,,1566.98,0.0,Refrigerated,Room_Temp,No,No,,None,3,681,44.7,Yes,NAFDAC,26,No,Expired
FAC-FCT-8886,Bwari PHC,FCT,Bwari,North_Central,PHC,Amoxicillin-Clavulanate 625mg,Antibiotic,Yes,BN44760,07-20-2024,2026-05-08,Chi Pharma,147,267,1246,Tablets,24.8,2025-02-21,2025-06-19,USAID Supply Chain,1139.54,167512.38,Room_Temp,Room_Temp,Yes,No,,None,6,178,2.2,Yes,WHO_PQ,17,No,Low_Stock
FAC-YOB-9565,Geidam PHC,Yobe,Geidam,North_East,PHC,Tramadol 50mg,Analgesic,No,BN61876,2023-09-07,2025-12-18,Fidson Healthcare,65,183,610,Tablets,16.0,2024-12-20,2025-07-11,,400.12,26007.8,Room_Temp,Room_Temp,Yes,No,,None,7,122,10.5,Yes,WHO_PQ,29,No,Critical
FAC-KAT-2753,Ward 12 PHC,Katsina,South,North_West,PHC,Ceftriaxone 1g Injection,Antibiotic,Yes,BN54942,2023-06-25,2025-11-23,Roche Nigeria,0,454,1212,Tablets,0.0,2025-02-08,2025-07-18,NMSC,1527.07,0.0,Room_Temp,Room_Temp,Yes,No,,Partial,0,303,2.9,Yes,NAFDAC,24,No,Out_of_Stock
FAC-OGU-1653,General Hospital Ijebu Ode,Ogun,Ijebu Ode,South_West,General Hospital,Ibuprofen 400mg,Analgesic,Yes,BN83385,2024-04-12,2027-01-07,Cipla Nigeria,0,301,2010,Tablets,0.0,2025-03-18,2025-07-11,Local Market Vendor,103.91,0.0,Room_Temp,Room_Temp,Yes,No,,Partial,1,201,8.4,Yes,NAFDAC,13,Yes,Out_of_Stock
FAC-PLA-4164,North PHC,Plateau,North,North_Central,PHC,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN56025,2024-03-29,2027-02-22,Fidson Healthcare,0,303,1616,Tablets,0.0,2025-02-21,2025-07-31,,232.92,0.0,Room_Temp,Room_Temp,Yes,No,,Partial,1,202,2.0,Yes,NAFDAC,41,No,Out_of_Stock
FAC-EDO-6409,Federal Teaching Hospital Central,Edo,Central,South_South,Teaching Hospital,Dihydroartemisinin-Piperaquine,Antimalarial,Yes,BN76469,2024-04-16,2026-03-16,Fidson Healthcare,1228,612,2448,Tablets,90.3,2024-12-03,2025-06-17,Drugfield Pharma,1115.87,1370288.36,Room_Temp,Room_Temp,Yes,Yes,SRL-4144271637,Full,2,408,5.2,Yes,WHO_PQ,7,Yes,In_Stock
FAC-GOM-9445,Ward 11 PHC,Gombe,Rural A,North_East,PHC,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN40784,2023-04-06,2024-10-25,Cipla Nigeria,2321,729,4860,Tablets,143.3,2025-01-09,2025-07-13,Unknown Supplier,230.53,535060.13,Room_Temp,Room_Temp,Yes,No,,None,3,486,4.3,Yes,WHO_PQ,14,No,Expired
FAC-IMO-8251,Ward 10 PHC,Imo,West,South_East,PHC,Lopinavir/Ritonavir 200/50mg,ARV,Yes,BN68446,2024-08-30,2026/12/03,Greenfield Pharma,1308,991,4627,Tablets,59.4,2025-02-26,2025-07-07,,2773.16,3627293.28,Room_Temp,Room_Temp,Yes,No,,None,3,661,2.9,Yes,WHO_PQ,8,No,In_Stock
FAC-BOR-6763,Monguno PHC,Borno,Monguno,North_East,PHC,Lopinavir/Ritonavir 200/50mg,ARV,Yes,BN81582,2023-03-28,2025-08-08,Roche Nigeria,390,651,2604,Tablets,27.0,2025-03-13,2025-06-18,NAFDAC Approved Vendor,5494.04,2142675.6,Room_Temp,Room_Temp,Yes,No,,None,0,434,4.1,Yes,WHO_PQ,15,No,Low_Stock
FAC-KEB-9837,East PHC,Kebbi,East,North_West,PHC,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN15276,05-22-2023,2024-12-11,Strides Shasun Nigeria,276,364,2673,Tablets,34.1,2025-01-01,2025-07-25,,84.37,23286.12,Room_Temp,Room_Temp,Yes,No,,None,5,243,11.2,Yes,NAFDAC,24,Yes,In_Stock
FAC-JIG-1672,Federal Teaching Hospital Rural B,Jigawa,Rural B,North_West,Teaching Hospital,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN11658,2024-09-30,2026-01-16,Jawa International,0,264,1760,Tablets,0.0,2025-05-18,2025-07-21,Unknown Supplier,236.34,0.0,Room_Temp,Room_Temp,Yes,Yes,SRL-2604146523,Partial,3,176,4.3,Yes,NAFDAC,31,Yes,Out_of_Stock
FAC-CRO-7209,General Hospital North,Cross River,North,South_South,General Hospital,Tenofovir/Lamivudine/Dolutegravir,ARV,Yes,BN56507,2023-11-29,2025-09-10,Pfizer Nigeria,265,322,1075,Tablets,37.0,2025-05-28,2025-07-01,Local Market Vendor,2972.46,787701.9,Room_Temp,Room_Temp,Yes,No,,Partial,0,215,4.7,Yes,NAFDAC,10,Yes,Low_Stock
FAC-OSU-5438,South District Hospital,Osun,South,South_West,General Hospital,Diclofenac 50mg,Analgesic,Yes,BN80236,2023-01-15,2024-07-29,May & Baker Nigeria,2844,1197,9576,Tablets,106.9,2025-03-05,2025-06-15,HealthPlus Distribution,159.12,452537.28,Room_Temp,Room_Temp,Yes,Yes,SRL-0FAE6664A2,Full,0,798,2.9,Yes,NAFDAC,5,No,Expired
